model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
baseline_res18,cifar100,42,shot_noise,55.56,49.88,36.1,29.84,24.15,39.106
baseline_res18,cifar100,42,impulse_noise,53.28,43.02,33.15,21.02,14.05,32.904
baseline_res18,cifar100,42,defocus_blur,62.11,59.67,54.71,47.97,37.54,52.4
baseline_res18,cifar100,42,glass_blur,38.0,38.76,41.42,28.0,30.32,35.3
baseline_res18,cifar100,42,motion_blur,56.2,50.37,44.62,44.71,39.32,47.044
baseline_res18,cifar100,42,zoom_blur,54.34,52.24,49.07,45.48,40.73,48.372
baseline_res18,cifar100,42,snow,56.93,47.47,47.99,45.63,41.72,47.948
baseline_res18,cifar100,42,frost,57.48,52.64,45.47,44.31,37.52,47.484
baseline_res18,cifar100,42,fog,60.95,56.77,52.81,46.14,31.57,49.648
baseline_res18,cifar100,42,brightness,62.17,61.25,59.72,57.91,52.12,58.634
baseline_res18,cifar100,42,contrast,60.45,53.42,46.94,38.58,17.08,43.294
baseline_res18,cifar100,42,elastic_transform,53.91,54.19,51.83,47.86,45.31,50.62
baseline_res18,cifar100,42,pixelate,59.62,55.49,53.64,43.78,30.27,48.56
baseline_res18,cifar100,42,jpeg_compression,55.6,52.27,51.31,49.78,47.31,51.254
baseline_res18,cifar10,42,gaussian_noise,78.8,69.74,57.33,50.78,46.27,60.584
baseline_res18,cifar10,42,shot_noise,82.19,77.31,64.87,58.72,49.25,66.468
baseline_res18,cifar10,42,impulse_noise,80.67,73.01,65.11,48.14,34.23,60.232
baseline_res18,cifar10,42,defocus_blur,85.72,84.3,79.37,71.44,56.42,75.45
baseline_res18,cifar10,42,glass_blur,52.73,54.35,57.79,41.54,44.84,50.25
baseline_res18,cifar10,42,motion_blur,79.87,72.52,63.6,63.79,57.14,67.384
baseline_res18,cifar10,42,zoom_blur,77.83,75.02,70.81,65.66,58.66,69.596
baseline_res18,cifar10,42,snow,80.7,70.37,72.78,69.71,66.21,71.954
baseline_res18,cifar10,42,frost,81.95,76.48,67.98,66.25,57.42,70.016
baseline_res18,cifar10,42,fog,85.58,82.96,79.35,74.3,58.08,76.054
baseline_res18,cifar10,42,brightness,85.64,85.36,84.65,83.88,80.58,84.022
baseline_res18,cifar10,42,contrast,85.17,78.76,71.61,59.26,30.46,65.052
baseline_res18,cifar10,42,elastic_transform,79.73,79.46,76.23,71.55,68.42,75.078
baseline_res18,cifar10,42,pixelate,83.34,79.41,76.46,65.54,48.16,70.582
baseline_res18,cifar10,42,jpeg_compression,82.53,79.72,78.91,77.1,74.87,78.626
baseline_res50,cifar100,42,gaussian_noise,45.76,34.61,25.75,21.66,19.03,29.362
baseline_res50,cifar100,42,shot_noise,52.0,45.03,31.88,27.12,20.69,35.344
baseline_res50,cifar100,42,impulse_noise,54.17,45.29,36.03,23.24,15.67,34.88
baseline_res50,cifar100,42,defocus_blur,60.1,56.87,50.36,43.27,31.57,48.434
baseline_res50,cifar100,42,glass_blur,30.28,31.79,32.82,24.02,24.7,28.722
baseline_res50,cifar100,42,motion_blur,53.79,46.96,40.99,40.82,34.28,43.368
baseline_res50,cifar100,42,zoom_blur,50.06,47.42,43.57,40.33,35.95,43.466
baseline_res50,cifar100,42,snow,54.6,43.52,45.55,42.55,37.65,44.774
baseline_res50,cifar100,42,frost,54.08,46.99,38.17,37.67,29.43,41.268
baseline_res50,cifar100,42,fog,59.3,53.62,47.89,40.78,25.12,45.342
baseline_res50,cifar100,42,brightness,60.1,59.17,57.49,54.9,48.59,56.05
baseline_res50,cifar100,42,contrast,58.39,47.96,40.33,30.46,12.25,37.878
baseline_res50,cifar100,42,elastic_transform,51.41,51.01,47.05,43.81,40.78,46.812
baseline_res50,cifar100,42,pixelate,57.58,50.81,46.93,35.52,23.19,42.806
baseline_res50,cifar100,42,jpeg_compression,54.06,50.15,48.89,46.47,44.83,48.88
baseline_res50,cifar10,42,gaussian_noise,79.41,69.58,58.0,51.73,46.79,61.102
baseline_res50,cifar10,42,shot_noise,82.38,78.1,65.29,60.0,50.68,67.29
baseline_res50,cifar10,42,impulse_noise,81.43,74.81,66.58,52.01,38.9,62.746
baseline_res50,cifar10,42,defocus_blur,86.58,84.43,79.7,71.13,56.14,75.596
